"district","age","life_exp","gender","municipality_id"
"Villa de Vallecas","65 a 69 años",19.18,"Hombre","28079"
"Vicálvaro","65 a 69 años",20.84,"Hombre","28079"
"San Blas-Canillejas ","65 a 69 años",19.05,"Hombre","28079"
"Barajas","65 a 69 años",19.71,"Hombre","28079"
"Centro","70 a 74 años",15.33,"Hombre","28079"
"Arganzuela","70 a 74 años",15.44,"Hombre","28079"
"Retiro","70 a 74 años",16.84,"Hombre","28079"
"Salamanca","70 a 74 años",16.23,"Hombre","28079"
"Chamartín","70 a 74 años",16.45,"Hombre","28079"
"Tetuán","70 a 74 años",15.45,"Hombre","28079"
"Chamberí","70 a 74 años",15.49,"Hombre","28079"
"Fuencarral-El Pardo","70 a 74 años",16.78,"Hombre","28079"
"Moncloa-Aravaca","70 a 74 años",16.62,"Hombre","28079"
"Latina","70 a 74 años",16.45,"Hombre","28079"
"Carabanchel","70 a 74 años",15.43,"Hombre","28079"
"Usera","70 a 74 años",15.68,"Hombre","28079"
"Puente de Vallecas","70 a 74 años",15.34,"Hombre","28079"
"Moratalaz","70 a 74 años",15.98,"Hombre","28079"
"Ciudad Lineal","70 a 74 años",16.02,"Hombre","28079"
"Hortaleza","70 a 74 años",15.73,"Hombre","28079"
"Villaverde","70 a 74 años",15.62,"Hombre","28079"
"Villa de Vallecas","70 a 74 años",15.47,"Hombre","28079"
"Vicálvaro","70 a 74 años",16.81,"Hombre","28079"
"San Blas-Canillejas ","70 a 74 años",15.54,"Hombre","28079"
"Barajas","70 a 74 años",15.63,"Hombre","28079"
"Centro","75 a 79 años",11.69,"Hombre","28079"
"Arganzuela","75 a 79 años",11.92,"Hombre","28079"
"Retiro","75 a 79 años",12.91,"Hombre","28079"
"Salamanca","75 a 79 años",12.7,"Hombre","28079"
"Chamartín","75 a 79 años",12.82,"Hombre","28079"
"Tetuán","75 a 79 años",12.07,"Hombre","28079"
"Chamberí","75 a 79 años",11.64,"Hombre","28079"
"Fuencarral-El Pardo","75 a 79 años",12.75,"Hombre","28079"
"Moncloa-Aravaca","75 a 79 años",12.64,"Hombre","28079"
"Latina","75 a 79 años",12.82,"Hombre","28079"
"Carabanchel","75 a 79 años",12.09,"Hombre","28079"
